account_id,customer_id,account_type,balance
ACC000001,CUST086728,SALARY,342395
ACC000002,CUST071332,CURRENT,36975
ACC000003,CUST098131,SALARY,76251
ACC000004,CUST006796,SALARY,215433
ACC000005,CUST076304,SALARY,147779
ACC000006,CUST038613,CURRENT,53919
ACC000007,CUST003025,SAVINGS,320140
ACC000008,CUST095059,CURRENT,192399
ACC000009,CUST018974,CURRENT,23337
ACC000010,CUST064621,CURRENT,284540
ACC000011,CUST028834,SAVINGS,186618
ACC000012,CUST020720,CURRENT,246109
ACC000013,CUST017673,CURRENT,292565
ACC000014,CUST011103,CURRENT,463427
ACC000015,CUST080134,SAVINGS,210559
ACC000016,CUST024755,SAVINGS,129244
ACC000017,CUST063919,CURRENT,106012
ACC000018,CUST069696,SALARY,92302
ACC000019,CUST056882,SALARY,323860
ACC000020,CUST018725,SALARY,110026
ACC000021,CUST019023,SALARY,358614
ACC000022,CUST057913,CURRENT,457397
ACC000023,CUST080343,SAVINGS,288049
ACC000024,CUST048014,SALARY,88579
ACC000025,CUST004882,SAVINGS,247436
ACC000026,CUST022164,SAVINGS,50124
ACC000027,CUST003423,CURRENT,94850
ACC000028,CUST041296,CURRENT,160563
ACC000029,CUST063140,SAVINGS,438041
ACC000030,CUST004542,SALARY,77585
ACC000031,CUST015297,SALARY,273416
ACC000032,CUST070626,CURRENT,295427
ACC000033,CUST006805,CURRENT,346168
ACC000034,CUST099624,SAVINGS,159736
ACC000035,CUST096867,CURRENT,23203
ACC000036,CUST023622,SAVINGS,144804
ACC000037,CUST039026,CURRENT,263539
ACC000038,CUST086707,SAVINGS,468618
ACC000039,CUST054328,SAVINGS,112175
ACC000040,CUST070383,SAVINGS,279363
ACC000041,CUST043746,SALARY,359902
ACC000042,CUST005854,SAVINGS,96283
ACC000043,CUST043450,SAVINGS,486495
ACC000044,CUST032076,SAVINGS,377607
ACC000045,CUST024868,SALARY,100222
ACC000046,CUST014023,CURRENT,52804
ACC000047,CUST006641,SALARY,328180
ACC000048,CUST062335,CURRENT,76027
ACC000049,CUST007362,CURRENT,407082
ACC000050,CUST016267,SALARY,212948
ACC000051,CUST082826,SAVINGS,178591
ACC000052,CUST003035,SALARY,499238
ACC000053,CUST036942,SAVINGS,238754
ACC000054,CUST081168,SALARY,170970
ACC000055,CUST052538,SALARY,322639
ACC000056,CUST090772,SALARY,279995
ACC000057,CUST019445,CURRENT,431220
ACC000058,CUST058815,CURRENT,340167
ACC000059,CUST021086,SAVINGS,103043
ACC000060,CUST066193,CURRENT,491558
ACC000061,CUST041659,SALARY,430084
ACC000062,CUST050462,SALARY,292260
ACC000063,CUST032232,CURRENT,138304
ACC000064,CUST032652,SAVINGS,398219
ACC000065,CUST089211,SAVINGS,14627
ACC000066,CUST088440,CURRENT,92414
ACC000067,CUST092982,CURRENT,339811
ACC000068,CUST022934,SALARY,295759
ACC000069,CUST016643,SAVINGS,263727
ACC000070,CUST050273,CURRENT,411111
ACC000071,CUST065357,SAVINGS,309577
ACC000072,CUST049045,SALARY,393772
ACC000073,CUST089690,SAVINGS,322785
ACC000074,CUST004488,SAVINGS,254763
ACC000075,CUST060533,SAVINGS,369250
ACC000076,CUST060836,SALARY,365059
ACC000077,CUST057481,SAVINGS,94078
ACC000078,CUST021946,SAVINGS,21366
ACC000079,CUST003959,SAVINGS,290017
ACC000080,CUST070112,CURRENT,378776
ACC000081,CUST058762,CURRENT,304795
ACC000082,CUST034394,SAVINGS,118111
ACC000083,CUST030495,SAVINGS,54749
ACC000084,CUST025543,SAVINGS,264283
ACC000085,CUST011872,SAVINGS,50555
ACC000086,CUST093074,SALARY,111615
ACC000087,CUST063309,SAVINGS,148149
ACC000088,CUST046116,SALARY,146180
ACC000089,CUST068723,SAVINGS,328948
ACC000090,CUST041834,SAVINGS,295311
ACC000091,CUST015802,SAVINGS,138343
ACC000092,CUST036000,SAVINGS,29877
ACC000093,CUST063382,SALARY,462020
ACC000094,CUST050931,SALARY,80974
ACC000095,CUST055372,SALARY,474449
ACC000096,CUST045377,CURRENT,489551
ACC000097,CUST063641,SAVINGS,389005
ACC000098,CUST025808,SALARY,85690
ACC000099,CUST006278,SALARY,181436
ACC000100,CUST013440,SAVINGS,488130
ACC000101,CUST081664,SAVINGS,314820
ACC000102,CUST059235,SALARY,145604
ACC000103,CUST098080,SAVINGS,66874
ACC000104,CUST073625,SALARY,142096
ACC000105,CUST007526,SALARY,188359
