complaint_id,customer_id,complaint_type,status
COMP000001,CUST045989,LOAN_ISSUE,OPEN
COMP000002,CUST092874,UPI_ISSUE,CLOSED
COMP000003,CUST089664,FRAUD_ALERT,OPEN
COMP000004,CUST004481,UPI_ISSUE,CLOSED
COMP000005,CUST089925,LOAN_ISSUE,CLOSED
COMP000006,CUST051959,LOAN_ISSUE,CLOSED
COMP000007,CUST084787,LOAN_ISSUE,CLOSED
COMP000008,CUST079716,UPI_ISSUE,OPEN
COMP000009,CUST005124,UPI_ISSUE,CLOSED
COMP000010,CUST014182,LOAN_ISSUE,OPEN
COMP000011,CUST015761,CARD_ISSUE,CLOSED
COMP000012,CUST034428,LOAN_ISSUE,CLOSED
COMP000013,CUST045766,CARD_ISSUE,CLOSED
COMP000014,CUST052874,UPI_ISSUE,CLOSED
COMP000015,CUST019083,FRAUD_ALERT,CLOSED
COMP000016,CUST013090,FRAUD_ALERT,CLOSED
COMP000017,CUST076984,LOAN_ISSUE,OPEN
COMP000018,CUST019089,LOAN_ISSUE,OPEN
COMP000019,CUST071714,CARD_ISSUE,CLOSED
COMP000020,CUST054893,CARD_ISSUE,CLOSED
COMP000021,CUST025722,UPI_ISSUE,OPEN
COMP000022,CUST091150,LOAN_ISSUE,CLOSED
COMP000023,CUST052319,UPI_ISSUE,CLOSED
COMP000024,CUST043177,CARD_ISSUE,OPEN
COMP000025,CUST020865,CARD_ISSUE,OPEN
COMP000026,CUST004753,CARD_ISSUE,CLOSED
COMP000027,CUST073443,LOAN_ISSUE,OPEN
COMP000028,CUST044718,UPI_ISSUE,OPEN
COMP000029,CUST026995,UPI_ISSUE,CLOSED
COMP000030,CUST012279,FRAUD_ALERT,OPEN
COMP000031,CUST059082,UPI_ISSUE,OPEN
COMP000032,CUST077444,FRAUD_ALERT,OPEN
COMP000033,CUST044127,LOAN_ISSUE,CLOSED
COMP000034,CUST091789,UPI_ISSUE,CLOSED
COMP000035,CUST001121,FRAUD_ALERT,CLOSED
COMP000036,CUST054379,FRAUD_ALERT,OPEN
COMP000037,CUST010068,UPI_ISSUE,CLOSED
COMP000038,CUST042262,FRAUD_ALERT,CLOSED
COMP000039,CUST010269,CARD_ISSUE,OPEN
COMP000040,CUST003981,FRAUD_ALERT,OPEN
COMP000041,CUST009649,UPI_ISSUE,OPEN
COMP000042,CUST033311,LOAN_ISSUE,CLOSED
COMP000043,CUST082872,CARD_ISSUE,CLOSED
COMP000044,CUST017607,LOAN_ISSUE,CLOSED
COMP000045,CUST075477,CARD_ISSUE,CLOSED
COMP000046,CUST007049,LOAN_ISSUE,CLOSED
COMP000047,CUST072745,UPI_ISSUE,OPEN
COMP000048,CUST084657,FRAUD_ALERT,CLOSED
COMP000049,CUST004825,FRAUD_ALERT,CLOSED
COMP000050,CUST030365,CARD_ISSUE,OPEN
COMP000051,CUST009562,UPI_ISSUE,CLOSED
COMP000052,CUST002101,UPI_ISSUE,CLOSED
COMP000053,CUST050900,FRAUD_ALERT,OPEN
COMP000054,CUST046820,LOAN_ISSUE,OPEN
COMP000055,CUST032517,UPI_ISSUE,OPEN
COMP000056,CUST046093,CARD_ISSUE,CLOSED
COMP000057,CUST031210,FRAUD_ALERT,CLOSED
COMP000058,CUST033657,UPI_ISSUE,CLOSED
COMP000059,CUST089513,FRAUD_ALERT,CLOSED
COMP000060,CUST065552,CARD_ISSUE,OPEN
COMP000061,CUST041213,UPI_ISSUE,OPEN
COMP000062,CUST023785,CARD_ISSUE,CLOSED
COMP000063,CUST079900,FRAUD_ALERT,CLOSED
COMP000064,CUST091042,UPI_ISSUE,OPEN
COMP000065,CUST099628,LOAN_ISSUE,OPEN
COMP000066,CUST050601,LOAN_ISSUE,CLOSED
COMP000067,CUST022321,UPI_ISSUE,OPEN
COMP000068,CUST028653,UPI_ISSUE,OPEN
COMP000069,CUST081441,CARD_ISSUE,CLOSED
COMP000070,CUST046240,CARD_ISSUE,OPEN
COMP000071,CUST003945,LOAN_ISSUE,CLOSED
COMP000072,CUST062471,FRAUD_ALERT,OPEN
COMP000073,CUST033464,UPI_ISSUE,OPEN
COMP000074,CUST004813,CARD_ISSUE,CLOSED
COMP000075,CUST067040,FRAUD_ALERT,OPEN
COMP000076,CUST096211,LOAN_ISSUE,CLOSED
COMP000077,CUST048836,FRAUD_ALERT,OPEN
COMP000078,CUST044671,UPI_ISSUE,CLOSED
COMP000079,CUST036810,UPI_ISSUE,CLOSED
COMP000080,CUST016857,UPI_ISSUE,OPEN
COMP000081,CUST087316,CARD_ISSUE,OPEN
COMP000082,CUST023919,UPI_ISSUE,CLOSED
COMP000083,CUST023810,FRAUD_ALERT,OPEN
COMP000084,CUST044279,LOAN_ISSUE,CLOSED
COMP000085,CUST082811,CARD_ISSUE,CLOSED
COMP000086,CUST042560,FRAUD_ALERT,OPEN
COMP000087,CUST071984,LOAN_ISSUE,OPEN
COMP000088,CUST013868,CARD_ISSUE,OPEN
COMP000089,CUST046938,LOAN_ISSUE,OPEN
COMP000090,CUST001997,FRAUD_ALERT,CLOSED
COMP000091,CUST007588,CARD_ISSUE,OPEN
COMP000092,CUST004498,UPI_ISSUE,CLOSED
COMP000093,CUST041744,FRAUD_ALERT,OPEN
COMP000094,CUST085851,FRAUD_ALERT,CLOSED
COMP000095,CUST046655,CARD_ISSUE,CLOSED
COMP000096,CUST010159,FRAUD_ALERT,OPEN
COMP000097,CUST088244,UPI_ISSUE,CLOSED
COMP000098,CUST033533,LOAN_ISSUE,OPEN
COMP000099,CUST000712,CARD_ISSUE,OPEN
COMP000100,CUST027874,FRAUD_ALERT,CLOSED
COMP000101,CUST008996,UPI_ISSUE,CLOSED
COMP000102,CUST049614,FRAUD_ALERT,CLOSED
COMP000103,CUST096406,FRAUD_ALERT,CLOSED
COMP000104,CUST009141,LOAN_ISSUE,CLOSED
COMP000105,CUST018362,LOAN_ISSUE,OPEN
COMP000106,CUST045910,CARD_ISSUE,OPEN
COMP000107,CUST087084,UPI_ISSUE,OPEN
COMP000108,CUST021495,CARD_ISSUE,OPEN
COMP000109,CUST007182,UPI_ISSUE,OPEN
COMP000110,CUST038599,CARD_ISSUE,CLOSED
COMP000111,CUST021725,FRAUD_ALERT,CLOSED
COMP000112,CUST019722,FRAUD_ALERT,CLOSED
COMP000113,CUST098704,CARD_ISSUE,CLOSED
COMP000114,CUST083845,UPI_ISSUE,CLOSED
COMP000115,CUST002591,UPI_ISSUE,OPEN
COMP000116,CUST096976,UPI_ISSUE,OPEN
COMP000117,CUST043806,LOAN_ISSUE,CLOSED
COMP000118,CUST034191,LOAN_ISSUE,OPEN
COMP000119,CUST036598,UPI_ISSUE,CLOSED
COMP000120,CUST096410,CARD_ISSUE,CLOSED
COMP000121,CUST066142,CARD_ISSUE,OPEN
COMP000122,CUST070257,LOAN_ISSUE,OPEN
COMP000123,CUST049639,LOAN_ISSUE,OPEN
COMP000124,CUST016985,CARD_ISSUE,OPEN
COMP000125,CUST059494,CARD_ISSUE,OPEN
COMP000126,CUST001027,CARD_ISSUE,OPEN
COMP000127,CUST090644,FRAUD_ALERT,OPEN
COMP000128,CUST091272,LOAN_ISSUE,OPEN
COMP000129,CUST076327,UPI_ISSUE,OPEN
COMP000130,CUST003701,CARD_ISSUE,OPEN
COMP000131,CUST054678,FRAUD_ALERT,CLOSED
COMP000132,CUST041559,CARD_ISSUE,CLOSED
COMP000133,CUST051234,LOAN_ISSUE,OPEN
COMP000134,CUST038991,FRAUD_ALERT,OPEN
COMP000135,CUST017278,LOAN_ISSUE,OPEN
COMP000136,CUST075585,CARD_ISSUE,OPEN
COMP000137,CUST025592,UPI_ISSUE,OPEN
COMP000138,CUST002146,FRAUD_ALERT,OPEN
COMP000139,CUST086996,FRAUD_ALERT,OPEN
COMP000140,CUST032460,CARD_ISSUE,OPEN
COMP000141,CUST032609,FRAUD_ALERT,CLOSED
COMP000142,CUST060743,CARD_ISSUE,OPEN
COMP000143,CUST036912,CARD_ISSUE,OPEN
COMP000144,CUST085302,LOAN_ISSUE,OPEN
COMP000145,CUST089387,UPI_ISSUE,CLOSED
COMP000146,CUST009139,LOAN_ISSUE,CLOSED
COMP000147,CUST082629,CARD_ISSUE,OPEN
COMP000148,CUST021029,LOAN_ISSUE,OPEN
COMP000149,CUST076761,UPI_ISSUE,OPEN
COMP000150,CUST049833,CARD_ISSUE,CLOSED
COMP000151,CUST002229,LOAN_ISSUE,CLOSED
COMP000152,CUST078533,CARD_ISSUE,OPEN
COMP000153,CUST097801,FRAUD_ALERT,OPEN
COMP000154,CUST068637,FRAUD_ALERT,CLOSED
COMP000155,CUST039242,UPI_ISSUE,CLOSED
COMP000156,CUST082466,FRAUD_ALERT,CLOSED
COMP000157,CUST096488,FRAUD_ALERT,OPEN
COMP000158,CUST074280,CARD_ISSUE,CLOSED
COMP000159,CUST095170,LOAN_ISSUE,CLOSED
COMP000160,CUST091019,UPI_ISSUE,CLOSED
COMP000161,CUST095240,FRAUD_ALERT,CLOSED
COMP000162,CUST024647,LOAN_ISSUE,CLOSED
COMP000163,CUST039514,LOAN_ISSUE,OPEN
COMP000164,CUST095239,UPI_ISSUE,OPEN
COMP000165,CUST048903,LOAN_ISSUE,CLOSED
COMP000166,CUST076213,LOAN_ISSUE,CLOSED
COMP000167,CUST080140,FRAUD_ALERT,OPEN
COMP000168,CUST020134,CARD_ISSUE,CLOSED
COMP000169,CUST074516,CARD_ISSUE,CLOSED
COMP000170,CUST039221,UPI_ISSUE,OPEN
COMP000171,CUST036189,LOAN_ISSUE,OPEN
COMP000172,CUST060313,UPI_ISSUE,OPEN
COMP000173,CUST044678,UPI_ISSUE,CLOSED
COMP000174,CUST088523,FRAUD_ALERT,OPEN
COMP000175,CUST060094,FRAUD_ALERT,CLOSED
COMP000176,CUST054754,CARD_ISSUE,CLOSED
COMP000177,CUST016529,LOAN_ISSUE,CLOSED
COMP000178,CUST085193,FRAUD_ALERT,CLOSED
COMP000179,CUST026847,LOAN_ISSUE,OPEN
COMP000180,CUST035965,LOAN_ISSUE,OPEN
COMP000181,CUST013343,UPI_ISSUE,CLOSED
COMP000182,CUST045039,CARD_ISSUE,CLOSED
COMP000183,CUST024004,UPI_ISSUE,CLOSED
COMP000184,CUST040079,UPI_ISSUE,OPEN
COMP000185,CUST080697,CARD_ISSUE,CLOSED
COMP000186,CUST074020,CARD_ISSUE,CLOSED
COMP000187,CUST006944,FRAUD_ALERT,OPEN
COMP000188,CUST021688,UPI_ISSUE,OPEN
COMP000189,CUST046354,UPI_ISSUE,CLOSED
COMP000190,CUST098826,LOAN_ISSUE,CLOSED
COMP000191,CUST077437,UPI_ISSUE,CLOSED
COMP000192,CUST025088,FRAUD_ALERT,OPEN
COMP000193,CUST005479,LOAN_ISSUE,OPEN
COMP000194,CUST023536,LOAN_ISSUE,OPEN
COMP000195,CUST055221,UPI_ISSUE,CLOSED
COMP000196,CUST075737,UPI_ISSUE,CLOSED
COMP000197,CUST043387,UPI_ISSUE,OPEN
COMP000198,CUST029829,FRAUD_ALERT,OPEN
COMP000199,CUST048800,CARD_ISSUE,CLOSED
COMP000200,CUST043769,LOAN_ISSUE,OPEN
COMP000201,CUST096261,FRAUD_ALERT,CLOSED
COMP000202,CUST023244,CARD_ISSUE,CLOSED
COMP000203,CUST092158,LOAN_ISSUE,CLOSED
COMP000204,CUST056432,CARD_ISSUE,OPEN
COMP000205,CUST049762,CARD_ISSUE,OPEN
COMP000206,CUST067304,FRAUD_ALERT,OPEN
COMP000207,CUST084116,LOAN_ISSUE,OPEN
COMP000208,CUST095700,UPI_ISSUE,OPEN
COMP000209,CUST084239,FRAUD_ALERT,OPEN
COMP000210,CUST037423,FRAUD_ALERT,CLOSED
COMP000211,CUST029451,UPI_ISSUE,CLOSED
COMP000212,CUST046394,CARD_ISSUE,OPEN
COMP000213,CUST054469,FRAUD_ALERT,CLOSED
COMP000214,CUST010032,FRAUD_ALERT,OPEN
COMP000215,CUST024780,FRAUD_ALERT,CLOSED
COMP000216,CUST090350,UPI_ISSUE,OPEN
COMP000217,CUST001542,UPI_ISSUE,OPEN
COMP000218,CUST013876,FRAUD_ALERT,OPEN
COMP000219,CUST049072,CARD_ISSUE,CLOSED
COMP000220,CUST021343,UPI_ISSUE,CLOSED
COMP000221,CUST073102,CARD_ISSUE,CLOSED
COMP000222,CUST073532,CARD_ISSUE,OPEN
COMP000223,CUST044427,UPI_ISSUE,CLOSED
COMP000224,CUST077447,CARD_ISSUE,CLOSED
COMP000225,CUST018039,UPI_ISSUE,OPEN
COMP000226,CUST016459,CARD_ISSUE,OPEN
COMP000227,CUST040966,UPI_ISSUE,CLOSED
COMP000228,CUST008379,LOAN_ISSUE,CLOSED
COMP000229,CUST020343,CARD_ISSUE,CLOSED
COMP000230,CUST023733,UPI_ISSUE,CLOSED
COMP000231,CUST056528,FRAUD_ALERT,OPEN
COMP000232,CUST039805,CARD_ISSUE,OPEN
COMP000233,CUST030899,UPI_ISSUE,OPEN
COMP000234,CUST046323,CARD_ISSUE,OPEN
COMP000235,CUST084384,CARD_ISSUE,OPEN
COMP000236,CUST078571,LOAN_ISSUE,OPEN
