loan_id,customer_id,loan_type,loan_amount
LOAN000001,CUST096975,HOME,3902565
LOAN000002,CUST006445,HOME,2111729
LOAN000003,CUST039945,BUSINESS,2810000
LOAN000004,CUST028874,PERSONAL,4459486
LOAN000005,CUST049204,HOME,107789
LOAN000006,CUST033574,HOME,1771006
LOAN000007,CUST004869,CAR,4904870
LOAN000008,CUST063612,HOME,2147103
LOAN000009,CUST072715,CAR,4541896
LOAN000010,CUST013901,BUSINESS,1593588
LOAN000011,CUST016825,PERSONAL,4356243
LOAN000012,CUST049402,CAR,3573729
LOAN000013,CUST010765,CAR,930421
LOAN000014,CUST078332,BUSINESS,1957355
LOAN000015,CUST011974,HOME,1340776
LOAN000016,CUST032327,PERSONAL,2899687
LOAN000017,CUST075258,PERSONAL,3494084
LOAN000018,CUST063364,PERSONAL,906697
LOAN000019,CUST039950,BUSINESS,1817605
LOAN000020,CUST086845,CAR,3701996
LOAN000021,CUST069509,HOME,2068518
LOAN000022,CUST090794,PERSONAL,2480177
LOAN000023,CUST039716,BUSINESS,1602331
LOAN000024,CUST067441,BUSINESS,1169422
LOAN000025,CUST038019,PERSONAL,3136419
LOAN000026,CUST010112,PERSONAL,3829330
LOAN000027,CUST096235,BUSINESS,1192813
LOAN000028,CUST083430,HOME,2395370
LOAN000029,CUST078776,BUSINESS,2422364
LOAN000030,CUST021792,BUSINESS,3598950
LOAN000031,CUST082936,BUSINESS,2408452
LOAN000032,CUST038765,CAR,2558361
LOAN000033,CUST041590,CAR,1500983
LOAN000034,CUST036027,BUSINESS,1175973
LOAN000035,CUST041451,PERSONAL,265317
LOAN000036,CUST038566,BUSINESS,1725358
LOAN000037,CUST072343,CAR,2500265
LOAN000038,CUST037813,HOME,3630445
LOAN000039,CUST026613,BUSINESS,1367593
LOAN000040,CUST049155,PERSONAL,4489379
LOAN000041,CUST093760,PERSONAL,2979067
LOAN000042,CUST019369,BUSINESS,1959917
LOAN000043,CUST097218,HOME,1825305
LOAN000044,CUST051660,CAR,1395001
LOAN000045,CUST035502,HOME,735813
LOAN000046,CUST092827,HOME,4570392
LOAN000047,CUST036437,BUSINESS,1932140
LOAN000048,CUST026722,PERSONAL,2986718
LOAN000049,CUST006938,PERSONAL,4094261
LOAN000050,CUST075024,PERSONAL,4581252
LOAN000051,CUST017832,HOME,2484256
LOAN000052,CUST079128,HOME,1280085
LOAN000053,CUST011868,PERSONAL,4931165
LOAN000054,CUST044719,BUSINESS,3186469
LOAN000055,CUST055903,HOME,2066140
LOAN000056,CUST044444,PERSONAL,2737271
LOAN000057,CUST098789,BUSINESS,2931645
LOAN000058,CUST093074,CAR,4329780
LOAN000059,CUST020964,HOME,4058696
LOAN000060,CUST072692,BUSINESS,3736367
LOAN000061,CUST074596,BUSINESS,1860103
LOAN000062,CUST097193,CAR,3183638
LOAN000063,CUST003925,HOME,3931970
LOAN000064,CUST085386,HOME,2731588
LOAN000065,CUST060039,HOME,4709554
LOAN000066,CUST036370,PERSONAL,3793602
LOAN000067,CUST096037,HOME,927097
LOAN000068,CUST088707,HOME,962196
LOAN000069,CUST076927,CAR,888053
LOAN000070,CUST077940,PERSONAL,1437307
LOAN000071,CUST047303,HOME,1750077
LOAN000072,CUST071507,BUSINESS,4575494
LOAN000073,CUST022487,PERSONAL,4388633
LOAN000074,CUST099548,PERSONAL,2723607
LOAN000075,CUST090513,PERSONAL,4351081
LOAN000076,CUST001018,PERSONAL,4410457
LOAN000077,CUST071807,CAR,1184771
LOAN000078,CUST035241,HOME,2554068
LOAN000079,CUST005744,CAR,3182342
LOAN000080,CUST012033,CAR,2909923
LOAN000081,CUST083556,PERSONAL,3964259
LOAN000082,CUST079107,PERSONAL,3281268
LOAN000083,CUST032683,HOME,3851967
LOAN000084,CUST075044,PERSONAL,3138485
LOAN000085,CUST034442,CAR,2485314
LOAN000086,CUST044204,BUSINESS,2916910
LOAN000087,CUST017740,HOME,4127382
LOAN000088,CUST022707,HOME,2886560
LOAN000089,CUST034201,HOME,3218590
LOAN000090,CUST064658,HOME,2522900
LOAN000091,CUST036378,CAR,369548
LOAN000092,CUST092137,CAR,1193742
LOAN000093,CUST075323,HOME,3723300
LOAN000094,CUST009020,CAR,1619972
LOAN000095,CUST031709,BUSINESS,4059224
LOAN000096,CUST068653,PERSONAL,2877665
LOAN000097,CUST026422,BUSINESS,4937664
LOAN000098,CUST091377,PERSONAL,3919826
LOAN000099,CUST096512,HOME,2704929
LOAN000100,CUST041159,CAR,1865694
LOAN000101,CUST040178,CAR,2672384
LOAN000102,CUST052065,HOME,2824188
LOAN000103,CUST014678,CAR,3295513
LOAN000104,CUST099825,PERSONAL,2892716
LOAN000105,CUST039953,HOME,4197380
LOAN000106,CUST071652,PERSONAL,1314946
LOAN000107,CUST060277,BUSINESS,1391573
LOAN000108,CUST065252,HOME,1938168
LOAN000109,CUST099025,HOME,3836172
LOAN000110,CUST076663,BUSINESS,1075427
