transaction_id,account_id,transaction_type,amount
TXN00200001,ACC144025,CREDIT,37980
TXN00200002,ACC143146,TRANSFER,9351
TXN00200003,ACC118236,DEBIT,22898
TXN00200004,ACC080051,DEBIT,26468
TXN00200005,ACC077037,CREDIT,39240
TXN00200006,ACC071708,DEBIT,23818
TXN00200007,ACC042387,UPI,11376
TXN00200008,ACC079388,UPI,33735
TXN00200009,ACC096802,UPI,18414
TXN00200010,ACC023713,DEBIT,39463
TXN00200011,ACC020271,CREDIT,47023
TXN00200012,ACC019330,TRANSFER,8423
TXN00200013,ACC017675,DEBIT,35812
TXN00200014,ACC060478,CREDIT,29975
TXN00200015,ACC145615,UPI,11995
TXN00200016,ACC083149,TRANSFER,39181
TXN00200017,ACC026398,DEBIT,16578
TXN00200018,ACC075820,DEBIT,7678
TXN00200019,ACC132528,DEBIT,9035
TXN00200020,ACC012005,CREDIT,16845
TXN00200021,ACC134145,TRANSFER,9696
TXN00200022,ACC079168,DEBIT,49437
TXN00200023,ACC064969,CREDIT,10217
TXN00200024,ACC038458,CREDIT,46024
TXN00200025,ACC131904,UPI,1217
TXN00200026,ACC088932,CREDIT,23141
TXN00200027,ACC081594,TRANSFER,42987
TXN00200028,ACC146625,UPI,45798
TXN00200029,ACC009977,CREDIT,12207
TXN00200030,ACC112694,DEBIT,24510
TXN00200031,ACC107868,DEBIT,31795
TXN00200032,ACC109636,DEBIT,19458
TXN00200033,ACC111191,DEBIT,41265
TXN00200034,ACC056873,UPI,47293
TXN00200035,ACC086097,DEBIT,17618
TXN00200036,ACC132654,UPI,41530
TXN00200037,ACC001555,DEBIT,36758
TXN00200038,ACC028557,TRANSFER,1264
TXN00200039,ACC113227,UPI,3196
TXN00200040,ACC066347,DEBIT,19093
TXN00200041,ACC010587,DEBIT,33171
TXN00200042,ACC063072,UPI,25486
TXN00200043,ACC109112,UPI,23797
TXN00200044,ACC080662,CREDIT,18320
TXN00200045,ACC034612,UPI,9245
TXN00200046,ACC095771,DEBIT,14352
TXN00200047,ACC104627,UPI,26325
TXN00200048,ACC097808,CREDIT,47609
TXN00200049,ACC123748,UPI,42935
TXN00200050,ACC025687,TRANSFER,10594
TXN00200051,ACC077923,UPI,42627
TXN00200052,ACC040012,TRANSFER,10957
